-11.461,-8.852,8.989.393,-18.158.907,0
-11.342,-892,8.989.393,-18.158.907,0
-11.299,-8.929,8.989.393,-18.158.907,0
-1.129,-8.888,8.989.393,-18.158.907,0
-11.344,-8.842,8.989.393,-18.158.907,0
-11.387,-8.811,8.989.393,-18.158.907,0
-11.441,-8.814,8.989.393,-18.158.907,0
-1.149,-8.836,8.989.393,-18.158.907,0
-11.509,-8.835,8.989.393,-18.158.907,0
-11.531,-8.811,8.989.393,-18.158.907,0
-11.527,-8.779,8.989.393,-18.158.907,0
-1.154,-8.761,8.989.393,-18.158.907,0
-11.544,-875,8.989.393,-18.158.907,0
-11.537,-874,9.083.791,-7.824.709,0
-11.551,-8.732,9.083.791,-7.824.709,0
-11.561,-8.727,9.083.791,-7.824.709,0
-11.574,-8.737,9.083.791,-7.824.709,0
-11.585,-8.743,9.083.791,-7.824.709,0
-11.565,-8.739,9.083.791,-7.824.709,0
-11.554,-8.735,9.083.791,-7.824.709,0
-11.563,-8.726,9.083.791,-7.824.709,0
-1.159,-8.721,9.083.791,-7.824.709,0
-11.627,-8.705,9.083.791,-7.824.709,0
-11.633,-8.697,9.083.791,-7.824.709,0
-11.656,-8.704,9.083.791,-7.824.709,0
-11.674,-8.704,9.083.791,-7.824.709,0
-11.663,-8.677,9.083.791,-7.824.709,0
-11.628,-8.652,9.083.791,-7.824.709,0
-11.597,-864,9.083.791,-7.824.709,0
-11.598,-8.619,8.324.533,-93.014.824,0
-11.631,-86,8.324.533,-93.014.824,0
-11.635,-8.569,8.324.533,-93.014.824,0
-117,-8.525,8.324.533,-93.014.824,0
-11.655,-8.541,8.324.533,-93.014.824,0
-11.588,-8.552,8.324.533,-93.014.824,0
-11.504,-8.576,8.324.533,-93.014.824,0
-11.415,-8.587,8.324.533,-93.014.824,0
-11.405,-8.591,8.324.533,-93.014.824,0
-11.439,-8.598,8.324.533,-93.014.824,0
-11.507,-8.614,8.324.533,-93.014.824,0
-11.561,-8.643,8.324.533,-93.014.824,0
-11.571,-8.676,8.324.533,-93.014.824,0
-11.624,-8.692,8.324.533,-93.014.824,0
-11.676,-8.706,8.324.533,-93.014.824,0
-11.723,-8.734,8.324.533,-93.014.824,0
-11.767,-8.762,78.344.154,-13.076.361,0
-11.791,-8.776,78.344.154,-13.076.361,0
-11.829,-8.779,78.344.154,-13.076.361,0
-11.858,-8.784,78.344.154,-13.076.361,0
-11.872,-8.786,78.344.154,-13.076.361,0
-11.885,-8.794,78.344.154,-13.076.361,0
-11.866,-8.806,78.344.154,-13.076.361,0
-11.866,-882,78.344.154,-13.076.361,0
-11.897,-8.832,78.344.154,-13.076.361,0
-1.194,-8.826,78.344.154,-13.076.361,0
-11.984,-8.808,78.344.154,-13.076.361,0
-12.004,-8.788,78.344.154,-13.076.361,0
-12.036,-8.778,78.344.154,-13.076.361,0
-12.031,-8.755,78.344.154,-13.076.361,0
-12.012,-8.732,7.841.278,-10.893.518,0
-12.007,-8.704,7.841.278,-10.893.518,0
-11.989,-867,7.841.278,-10.893.518,0
-11.962,-8.627,7.841.278,-10.893.518,0
-11.877,-8.574,7.841.278,-10.893.518,0
-11.815,-8.529,7.841.278,-10.893.518,0
-11.777,-8.478,7.841.278,-10.893.518,0
-11.795,-8.414,7.841.278,-10.893.518,0
-11.779,-8.372,7.841.278,-10.893.518,0
-11.734,-8.377,7.841.278,-10.893.518,0
-11.657,-8.405,7.841.278,-10.893.518,0
