-1.244,-8.559,8.989.344,-18.266.444,0
-12.455,-8.507,8.989.344,-18.266.444,0
-12.444,-8.432,8.989.344,-18.266.444,0
-12.456,-8.334,8.989.344,-18.266.444,0
-12.472,-8.201,8.989.344,-18.266.444,0
-12.516,-8.081,8.989.344,-18.266.444,0
-12.526,-7.998,8.989.344,-18.266.444,0
-12.543,-795,8.989.344,-18.266.444,0
-1.257,-7.932,8.989.344,-18.266.444,0
-12.599,-792,8.989.344,-18.266.444,0
-12.674,-7.906,8.989.344,-18.266.444,0
-12.728,-788,8.989.344,-18.266.444,0
-12.773,-7.835,8.989.344,-18.266.444,0
-12.778,-7.784,943.037,-17.412.726,0
-12.734,-7.729,943.037,-17.412.726,0
-12.705,-7.674,943.037,-17.412.726,0
-12.652,-763,943.037,-17.412.726,0
-12.632,-7.612,943.037,-17.412.726,0
-12.609,-7.596,943.037,-17.412.726,0
-12.587,-7.604,943.037,-17.412.726,0
-12.587,-7.642,943.037,-17.412.726,0
-12.614,-7.684,943.037,-17.412.726,0
-12.643,-7.716,943.037,-17.412.726,0
-12.695,-7.753,943.037,-17.412.726,0
-12.685,-7.804,943.037,-17.412.726,0
-12.694,-7.867,943.037,-17.412.726,0
-12.683,-7.923,943.037,-17.412.726,0
-12.734,-7.951,14.102.533,-27.096.624,0
-12.824,-7.921,14.102.533,-27.096.624,0
-12.812,-7.944,14.102.533,-27.096.624,0
-12.797,-7.964,14.102.533,-27.096.624,0
-12.762,-8.011,14.102.533,-27.096.624,0
-12.778,-8.069,14.102.533,-27.096.624,0
-12.846,-8.097,14.102.533,-27.096.624,0
-12.965,-8.104,14.102.533,-27.096.624,0
-13.061,-8.121,14.102.533,-27.096.624,0
-13.146,-8.156,14.102.533,-27.096.624,0
-13.207,-8.203,14.102.533,-27.096.624,0
-13.293,-8.237,14.102.533,-27.096.624,0
-13.353,-8.274,14.102.533,-27.096.624,0
-13.401,-8.304,14.102.533,-27.096.624,0
-13.409,-8.329,14.102.533,-27.096.624,0
-13.409,-8.326,14.102.533,-27.096.624,0
-13.435,-8.325,16.004.492,-30.570.498,0
-13.456,-8.329,16.004.492,-30.570.498,0
